,0
0,tt0000591
1,tt0000886
2,tt0001175
3,tt0001614
4,tt0001790
5,tt0001826
6,tt0001993
7,tt0002130
8,tt0002199
9,tt0002423
10,tt0002445
11,tt0002461
12,tt0002514
13,tt0002555
14,tt0002588
15,tt0002605
16,tt0002646
17,tt0002669
18,tt0002798
19,tt0002844
20,tt0002898
21,tt0002917
22,tt0003015
23,tt0003037
24,tt0003159
25,tt0003165
26,tt0003367
27,tt0003419
28,tt0003489
29,tt0003576
30,tt0003657
31,tt0003740
32,tt0003871
33,tt0003883
34,tt0003897
35,tt0003930
36,tt0003952
37,tt0004026
38,tt0004150
39,tt0004181
40,tt0004301
41,tt0004384
42,tt0004438
43,tt0004465
44,tt0004473
45,tt0004490
46,tt0004496
47,tt0004525
48,tt0004570
49,tt0004631
50,tt0004707
51,tt0004712
52,tt0004740
53,tt0004761
54,tt0004798
55,tt0004816
56,tt0004825
57,tt0004838
58,tt0004872
59,tt0004873
60,tt0004874
61,tt0004885
62,tt0004901
63,tt0004942
64,tt0004962
65,tt0004972
66,tt0004978
67,tt0005041
68,tt0005058
69,tt0005078
70,tt0005103
71,tt0005149
72,tt0005187
73,tt0005190
74,tt0005243
75,tt0005250
76,tt0005302
77,tt0005326
78,tt0005331
79,tt0005339
80,tt0005393
81,tt0005403
82,tt0005464
83,tt0005551
84,tt0005558
85,tt0005561
86,tt0005566
87,tt0005600
88,tt0005613
89,tt0005621
90,tt0005682
91,tt0005683
92,tt0005822
93,tt0005847
94,tt0005862
95,tt0005889
96,tt0005929
97,tt0005938
98,tt0005951
99,tt0005957
100,tt0005958
101,tt0005960
102,tt0005980
103,tt0006041
104,tt0006096
105,tt0006140
106,tt0006206
107,tt0006279
108,tt0006318
109,tt0006333
110,tt0006343
111,tt0006350
112,tt0006352
113,tt0006357
114,tt0006359
115,tt0006375
116,tt0006386
117,tt0006397
118,tt0006408
119,tt0006412
120,tt0006428
121,tt0006456
122,tt0006462
123,tt0006467
124,tt0006488
125,tt0006489
126,tt0006505
127,tt0006508
128,tt0006509
129,tt0006511
130,tt0006517
131,tt0006541
132,tt0006556
133,tt0006566
134,tt0006568
135,tt0006569
136,tt0006570
137,tt0006583
138,tt0006592
139,tt0006596
140,tt0006617
141,tt0006618
142,tt0006621
143,tt0006629
144,tt0006637
145,tt0006662
146,tt0006696
147,tt0006729
148,tt0006736
149,tt0006749
150,tt0006753
151,tt0006761
152,tt0006763
153,tt0006770
154,tt0006777
155,tt0006778
156,tt0006780
157,tt0006781
158,tt0006809
159,tt0006820
160,tt0006824
161,tt0006831
162,tt0006864
163,tt0006867
164,tt0006872
165,tt0006881
166,tt0006884
167,tt0006886
168,tt0006914
169,tt0006932
170,tt0006933
171,tt0006946
172,tt0006956
173,tt0006997
174,tt0007011
175,tt0007031
176,tt0007047
177,tt0007073
178,tt0007082
179,tt0007089
180,tt0007111
181,tt0007113
182,tt0007118
183,tt0007150
184,tt0007154
185,tt0007156
186,tt0007161
187,tt0007167
188,tt0007183
189,tt0007189
190,tt0007192
191,tt0007199
192,tt0007227
193,tt0007243
194,tt0007257
195,tt0007260
196,tt0007265
197,tt0007266
198,tt0007274
199,tt0007282
200,tt0007309
201,tt0007325
202,tt0007328
203,tt0007338
204,tt0007353
205,tt0007367
206,tt0007388
207,tt0007408
208,tt0007418
209,tt0007435
210,tt0007438
211,tt0007459
212,tt0007473
213,tt0007479
214,tt0007496
215,tt0007510
216,tt0007518
217,tt0007522
218,tt0007580
219,tt0007591
220,tt0007603
221,tt0007617
222,tt0007631
223,tt0007636
224,tt0007640
225,tt0007642
226,tt0007655
227,tt0007669
228,tt0007671
229,tt0007673
230,tt0007678
231,tt0007684
232,tt0007695
233,tt0007700
234,tt0007737
235,tt0007740
236,tt0007755
237,tt0007768
238,tt0007783
239,tt0007792
240,tt0007801
241,tt0007811
242,tt0007820
243,tt0007831
244,tt0007840
245,tt0007857
246,tt0007867
247,tt0007868
248,tt0007873
249,tt0007878
250,tt0007901
251,tt0007907
252,tt0007924
253,tt0007926
254,tt0007927
255,tt0007931
256,tt0007932
257,tt0007938
258,tt0007950
259,tt0007963
260,tt0007968
261,tt0007979
262,tt0007990
263,tt0007995
264,tt0008009
265,tt0008017
266,tt0008036
267,tt0008049
268,tt0008053
269,tt0008065
270,tt0008071
271,tt0008073
272,tt0008082
273,tt0008084
274,tt0008099
275,tt0008106
276,tt0008125
277,tt0008134
278,tt0008136
279,tt0008145
280,tt0008150
281,tt0008174
282,tt0008188
283,tt0008193
284,tt0008194
285,tt0008196
286,tt0008201
287,tt0008218
288,tt0008239
289,tt0008241
290,tt0008243
291,tt0008252
292,tt0008266
293,tt0008278
294,tt0008279
295,tt0008282
296,tt0008288
297,tt0008290
298,tt0008299
299,tt0008300
300,tt0008304
301,tt0008307
302,tt0008309
303,tt0008317
304,tt0008318
305,tt0008321
306,tt0008355
307,tt0008359
308,tt0008362
309,tt0008365
310,tt0008369
311,tt0008370
312,tt0008371
313,tt0008386
314,tt0008387
315,tt0008388
316,tt0008395
317,tt0008406
318,tt0008407
319,tt0008413
320,tt0008417
321,tt0008419
322,tt0008423
323,tt0008430
324,tt0008440
325,tt0008443
326,tt0008444
327,tt0008449
328,tt0008454
329,tt0008458
330,tt0008468
331,tt0008472
332,tt0008498
333,tt0008499
334,tt0008502
335,tt0008517
336,tt0008519
337,tt0008526
338,tt0008536
